Device_Location,State_Name,Device_State_Number,Fault_Description,Linac,DIAG0,SXU,HXU
Linac,In,2,Linac Screen Fault,2,-,-,-
Linac,Moving,3,Linac Screen Fault,1,-,-,-
Linac,Broken,4,Linac Screen Fault,1,-,-,-
Diag0,In,2,Diag0 Screen Fault,3,2,-,-
Diag0,Moving,3,Diag0 Screen Fault,3,1,-,-
Diag0,Broken,4,Diag0 Screen Fault,3,1,-,-
SXU,In,2,SXU Screen Fault,3,-,2,-
SXU,Moving,3,SXU Screen Fault,3,-,1,-
SXU,Broken,4,SXU Screen Fault,3,-,1,-
HXU,In,2,HXU Screen Fault,3,-,-,2
HXU,Moving,3,HXU Screen Fault,3,-,-,1
HXU,Broken,4,HXU Screen Fault,3,-,-,1
