Name,MPS_Signal_Source,MPS_Signal_Type,MPS_Channel_#,Z_Name,O_Name,Alarm_State,Bit_Position,Alarm_State,Debounce
IN_SWITCH,Prof. Rack Terminal Block,0/24V,1,IS_IN,NOT_IN,1,1,0,10
OUT_SWITCH,Prof. Rack Terminal Block,0/24V,2,IS_OUT,NOT_OUT,1,0,0,10
