Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,IS_OK,1,Pneumatic Valve Ok,10,-,-,-
LINAC,IS_FAULTED,2,Pneumatic Valve Fault,1,-,-,-
DIAG0,IS_OK,1,Pneumatic Valve Ok,-,10,-,-
DIAG0,IS_FAULTED,2,Pneumatic Valve Fault,-,1,-,-
SXU,IS_OK,1,Pneumatic Valve Ok,-,-,10,-
SXU,IS_FAULTED,2,Pneumatic Valve Fault,-,-,1,-
HXU,IS_OK,1,Pneumatic Valve Ok,-,-,-,10
HXU,IS_FAULTED,2,Pneumatic Valve Fault,-,-,-,1
CLTS,IS_OK,1,Pneumatic Valve Ok,-,-,-,-
CLTS,IS_FAULTED,2,Pneumatic Valve Fault,-,-,-,-
