Name,Number,Description,Value,Mask,Fault,Fault_Description
IS_OK,1,FastWire Speek Ok,1,4294967295,-,-
IS_NOT_OK,2,FastWire speed is NOT ok,0,4294967295,STATE,Fast Wire Speed
