ln,crate,slot,appid,channel,type,device,z,bit_position,z_name,o_name,auto_reset,evaluation,description,ignore,dest,slope,offset,cable,ln status,cn status,cn logic,checked date,inconfig
50,L2KA00-0517,1,1,38,EPICS,QUAD:DIAG0:190:INTOL,118.692923,0,IS_FAULTED,IS_OK,1,0,QDG001 Magnet INTOL (EPICS),2,DIAG0,,,,,,,,100
50,L2KA00-0517,1,1,39,EPICS,QUAD:DIAG0:230:INTOL,124.316936,0,IS_FAULTED,IS_OK,1,0,QDG003 Magnet INTOL (EPICS),2,DIAG0,,,,,,,,100
50,L2KA00-0517,1,1,40,EPICS,BEND:HTR:480:INTOL,59.923885,0,IS_FAULTED,IS_OK,1,0,BCXH1 Magnet INTOL (EPICS),2,DUMPBSY,,,,,,,,100
50,L2KA00-0517,2,2,0,SOLN,SOLN:GUNB:212,-32.115049,,,,0,1,SOL1B B-Field (SOLN:GUNB:212),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,2,2,1,SOLN,SOLN:GUNB:823,-27.538278,,,,0,1,SOL2B B-Field (SOLN:GUNB:823),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,2,2,2,BLM,SBLM:GUNB:753,-28.061394,,,,0,1,SBLM at Gun Window (SBLM:GUNB:753),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,2,2,3,BLM,PBLM:GUNB:622,-30,,,,0,1,PBLM at Gun Window (PBLM:GUNB:622),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,2,2,4,BLM,PBLM:GUNB:753,-28.061394,,,,0,1,PBLM at Inj Coll (PBLM:GUNB:753),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,2,2,5,BLM,SBLM:GUNB:622,-30,,,,0,1,SBLM at Inj Coll (SBLM:GUNB:622),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,3,3,0,BPMS,BPMS:GUNB:925,-26.772972,,,,0,1,BPM2B (BPMS:GUNB:925),2,DUMPBSY,1,0,N/A,,,,,100
50,L2KA00-0517,3,3,1,BPMS,BPMS:GUNB:314,-31.349744,,,,0,1,BPM1B (BPMS:GUNB:314),0,DUMPBSY,1,0,N/A,1,1,1,44631,100
50,L2KA00-0517,4,4,1,BPMS,BPMS:L0B:0183,12.449967,,,,0,1,CMB01 (BPMS:L0B:0183),2,DUMPBSY,1,0,N/A,,,,,100
50,L2KA00-0517,6,6,0,TORO,FARC:DIAG0:530,560.991818,,,,0,1,FCDG0DU (FARC:DIAG0:530),2,DIAG0,0.0078125,0,N/A,,,,,100
50,L2KA00-0517,7,7,0,TORO,TORO:GUNB:360,-31.004744,,,,0,1,IM01 (TORO:GUNB:360),0,DUMPBSY,0.0078125,0,N/A,1,1,1,44621,100
51,L2KA00-0615,1,350,32,WDOG,SIOC:L0B:MP01:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN51 (SIOC L0B MP01) Alive,0,DUMPBSY,,,,1,1,1,44615,100
51,L2KA00-0615,3,8,0,BPMS,BPMS:HTR:320,45.900591,,,,0,1,BPM0H04 (BPMS:HTR:320),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,3,8,1,BPMS,BPMS:HTR:120,28.216453,,,,0,1,BPM0H01 (BPMS:HTR:120),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,5,10,0,BPMS,BPMS:HTR:460,58.306102,,,,0,1,BPM0H08 (BPMS:HTR:460),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,5,10,1,BPMS,BPMS:HTR:365,49.910761,,,,0,1,BPM0H05 (BPMS:HTR:365),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,6,11,0,BPMS,BPMS:HTR:760,83.91584,,,,0,1,BPMH2 (BPMS:HTR:760),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,6,11,1,BPMS,BPMS:HTR:540,65.171991,,,,0,1,BPMH1 (BPMS:HTR:540),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,7,12,0,BPMS,BPMS:HTR:860,93.385728,,,,0,1,BPMHD02 (BPMS:HTR:860),2,DUMPBSY,1,0,N/A,,,,,100
51,L2KA00-0615,7,12,1,BPMS,BPMS:HTR:830,90.823392,,,,0,1,BPMHD01 (BPMS:HTR:830),2,DUMPBSY,1,0,N/A,,,,,100
52,L2KA00-0608,1,351,32,WDOG,SIOC:L0B:MP02:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN52 (SIOC L0B MP02) Alive,0,DUMPBSY,,,,1,1,1,44615,100
49,L2CID-0707,2,384,0,TEST,MPS:SYS0:100,-100,,,,0,1,AOM Permit Test,0,LASER,1,0,N/A,,,,,100
53,L2KG01-1925,1,16,0,VAC,VVPG:L0B:0199:POSITION,25.85,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG L0B 0199 Position,2,DUMPBSY,,,,1,1,1,44679,100
53,L2KG01-1925,1,16,1,VAC,VVPG:HTR:162:POSITION,32.5,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 162 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,2,VAC,VVPG:HTR:217:POSITION,36.99,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 217 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,3,VAC,VVPG:HTR:417:POSITION,54.63,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTH 417 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,4,VAC,VVPG:HTR:889:POSITION,95.96,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 889 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,5,VAC,VVPG:HTR:986:POSITION,105.02,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 986 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,6,VAC,VVPG:COL0:205:POSITION,119.42,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG COL0 205 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,7,VAC,VVPG:DIAG0:268:POSITION,130.91,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG DIAG0 268 Position,2,DIAG0,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,17,VACI,VVFS:HTR:244:INTERLOCK_SUM,39.37,0,IS_NOT_OK,IS_OK,1,0,VVFS HTR 244 Interlock Summary,2,DUMPBSY,,,,,,,,100
53,L2KG01-1925,1,16,18,VACI,VVFS:COL0:991:INTERLOCK_SUM,242.78,0,IS_NOT_OK,IS_OK,1,0,VVFS COL0 991 Interlock Summary,3,DUMPBSY,,,,,,,,100
53,L2KG01-1925,1,16,19,VAC,VVFS:HTR:244:POSITION,39.37,0,IS_NOT_OPEN,IS_OPEN,1,0,VVFS HTR 244 Position,2,DUMPBSY,,,,1,1,1,44673,100
53,L2KG01-1925,1,16,32,WDOG,SIOC:L0B:MP03:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN53 (SIOC L0B MP03) Alive,0,DUMPBSY,,,,,,,,100
53,L2KG01-1925,2,17,0,BLM,PBLM:COL0:390,150.97,,,,0,1,PBLM at CYC01 (PBLM:COL0:390),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,2,17,1,BLM,PBLM:COL0:470,164.099,,,,0,1,PBLM at CXC01 (PBLM:COL0:470),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,2,17,2,BLM,PBLM:COL0:710,203.469291,,,,0,1,PBLM at CYC03 (PBLM:COL0:710),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,2,17,3,BLM,PBLM:COL0:790,216.592651,,,,0,1,PBLM at CXC03 (PBLM:COL0:790),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,2,17,4,WF,LBLM:GUNB:212:A,45.592,,,,0,1,LBLM:GUNB:212:A_WF,0,DUMPBSY,1,0,L2A08299,,,,,100
53,L2KG01-1925,2,17,5,WF,LBLM:GUNB:212:B,45.592,,,,0,1,LBLM:GUNB:212:B_WF,0,DUMPBSY,1,0,L2A08300,,,,,100
53,L2KG01-1925,4,19,1,BPMS,BPMS:COL0:400,152.219291,,,,0,1,BPMC005 (BPMS:COL0:400),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,5,20,0,BPMS,BPMS:COL0:320,134.762598,,,,0,1,BPMC004 (BPMS:COL0:320),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,5,20,1,BPMS,BPMS:COL0:280,129.376542,,,,0,1,BPMC003 (BPMS:COL0:280),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,6,21,1,BPMS,BPMS:COL0:240,123.757119,,,,0,1,BPMC001 (BPMS:COL0:240),2,DUMPBSY,1,0,N/A,,,,,100
53,L2KG01-1925,7,22,0,WIRE,WIRE:HTR:340:SPEED_OK,47.718176,0,OK,NOT_OK,0,1,WS0H04 (WIRE:HTR:340) Wire Speed,2,DUMPBSY,,,,,,,,100
53,L2KG01-1925,7,22,1,WIRE,WIRE:DIAG0:424:SPEED_OK,154.041515,0,OK,NOT_OK,0,1,WSDG01 (WIRE:DIAG0:424) Wire Speed,2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,0,PROF,YAGS:HTR:625:IN_LMTSW,72.858917,1,NOT_IN,IS_IN,1,0,YAGH1,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,1,PROF,YAGS:HTR:625:OUT_LMTSW,72.858917,0,NOT_OUT,IS_OUT,1,0,YAGH1,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,2,PROF,YAGS:HTR:675:IN_LMTSW,76.330833,1,NOT_IN,IS_IN,1,0,YAGH2,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,3,PROF,YAGS:HTR:675:OUT_LMTSW,76.330833,0,NOT_OUT,IS_OUT,1,0,YAGH2,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,4,PROF,OTRS:DIAG0:420:IN_LMTSW,153.351427,1,NOT_IN,IS_IN,1,0,OTRDG02,2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,5,PROF,OTRS:DIAG0:420:OUT_LMTSW,153.351427,0,NOT_OUT,IS_OUT,1,0,OTRDG02,2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,6,PROF,OTRS:DIAG0:525:IN_LMTSW,169.458799,1,NOT_IN,IS_IN,1,0,OTRDG04,2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,7,PROF,OTRS:DIAG0:525:OUT_LMTSW,169.458799,0,NOT_OUT,IS_OUT,1,0,OTRDG04,2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,8,TEMP,COLL:COL0:390:TEMP_PERMIT,150.975853,0,IS_FAULTED,IS_OK,1,0,CYC01 Temperature Interlock,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,9,TEMP,COLL:COL0:470:TEMP_PERMIT,164.099213,0,IS_FAULTED,IS_OK,1,0,CXC01 Temperature Interlock,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,10,TEMP,FARC:DIAG0:530:TEMP_PERMIT,170.265052,0,IS_FAULTED,IS_OK,1,0,FCDG0DU Temperature Interlock,2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,13,TEMP,COLL:COL0:710:TEMP_PERMIT,203.469291,0,IS_FAULTED,IS_OK,1,0,CYC03 Temperature Interlock,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,14,TEMP,COLL:COL0:790:TEMP_PERMIT,216.592651,0,IS_FAULTED,IS_OK,1,0,CXC03 Temperature Interlock,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,31,TEMP,COLL:HTR:103:TEMP_PERMIT,26.956,0,IS_FAULTED,IS_OK,1,0,PC0H00 Temperature Interlock,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,17,TEMP,BLEN:HTR:350:TEMP_PERMIT,48.53,0,IS_FAULTED,IS_OK,1,0,BLEN Gap Diode Temperature Interlock,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,20,PAL,OTRS:HTR:330:P1_LMTSW,46,1,NOT_IN,IS_IN,1,0,OTROH04,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,21,PAL,OTRS:HTR:330:OUT_LMTSW,46,0,NOT_OUT,IS_OUT,1,0,OTROH05,2,DUMPBSY,,,,,,,,100
