ln,crate,slot,appid,channel,type,device,z,bit_position,z_name,o_name,auto_reset,evaluation,description,ignore,dest,slope,offset,cable,ln status,cn status,cn logic,checked date,inconfig
50,L2KA00-0517,3,3,0,BPMS,BPMS:GUNB:925,-26.772972,,,,0,1,BPM2B (BPMS:GUNB:925),2,DUMPBSY,1,0,N/A,,,,,
50,L2KA00-0517,4,4,1,BPMS,BPMS:L0B:0183,12.449967,,,,0,1,CMB01 (BPMS:L0B:0183),2,DUMPBSY,1,0,N/A,,,,,
50,L2KA00-0517,6,6,0,TORO,TORO:DIAG0:530,560.991818,,,,0,1,FCDG1DU (TORO:DIAG0:530),2,DIAG0,1,0,N/A,,,,,
51,L2KA00-0615,3,8,0,BPMS,BPMS:HTR:320,45.900591,,,,0,1,BPM0H04 (BPMS:HTR:320),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,3,8,1,BPMS,BPMS:HTR:120,28.216453,,,,0,1,BPM0H01 (BPMS:HTR:120),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,5,10,0,BPMS,BPMS:HTR:460,58.306102,,,,0,1,BPM0H08 (BPMS:HTR:460),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,5,10,1,BPMS,BPMS:HTR:365,49.910761,,,,0,1,BPM0H05 (BPMS:HTR:365),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,6,11,0,BPMS,BPMS:HTR:760,83.91584,,,,0,1,BPMH2 (BPMS:HTR:760),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,6,11,1,BPMS,BPMS:HTR:540,65.171991,,,,0,1,BPMH1 (BPMS:HTR:540),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,7,12,0,BPMS,BPMS:HTR:860,93.385728,,,,0,1,BPMHD02 (BPMS:HTR:860),2,DUMPBSY,1,0,N/A,,,,,
51,L2KA00-0615,7,12,1,BPMS,BPMS:HTR:830,90.823392,,,,0,1,BPMHD01 (BPMS:HTR:830),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,1,16,33,EPICS,QUAD:L1B:0385:INTOL,335.916207,0,IS_FAULTED,IS_OK,1,0,QCM03 Magnet INTOL (EPICS),3,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,34,EPICS,QUAD:L1B:0285:INTOL,295.823064,0,IS_FAULTED,IS_OK,1,0,QCM02 Magnet INTOL (EPICS),3,DUMPBSY,,,,,,,,
53,L2KG01-1925,2,17,0,BLM,PBLM:COL0:390,150.97,,,,0,1,PBLM at CYC01 (PBLM:COL0:390),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,2,17,1,BLM,PBLM:COL0:470,164.099,,,,0,1,PBLM at CXC01 (PBLM:COL0:470),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,2,17,2,BLM,PBLM:COL0:710,203.469291,,,,0,1,PBLM at CYC03 (PBLM:COL0:710),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,2,17,3,BLM,PBLM:COL0:790,216.592651,,,,0,1,PBLM at CXC03 (PBLM:COL0:790),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,3,18,0,BPMS,BPMS:COL0:800,217.836089,,,,0,1,BPMC010 (BPMS:COL0:800),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,3,18,1,BPMS,BPMS:COL0:720,204.71273,,,,0,1,BPMC009 (BPMS:COL0:720),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,4,19,0,BPMS,BPMS:COL0:480,165.342651,,,,0,1,BPMC006 (BPMS:COL0:480),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,4,19,1,BPMS,BPMS:COL0:400,152.219291,,,,0,1,BPMC005 (BPMS:COL0:400),2,DUMPBSY,1,0,N/A,,,,,
53,L2KG01-1925,5,20,0,BPMS,BPMS:COL0:320,134.762598,,,,0,1,BPMC004 (BPMS:COL0:320),2,DUMPBSY,1,0,N/A,,,,,
