Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Measured_Device_Type_Id
BLMH23_WDOG,HXU,STATE,UNDH,0,2375,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_0,241,B911-0620,34,0,16
BLMH24_WDOG,HXU,STATE,UNDH,0,2475,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_1,241,B911-0620,35,0,16
BLMH25_WDOG,HXU,STATE,UNDH,0,2575,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_2,241,B911-0620,36,0,16
BLMH26_WDOG,HXU,STATE,UNDH,0,2675,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_3,241,B911-0620,37,0,16
BLMH17_WDOG,HXU,STATE,UNDH,0,1775,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_0,241,B911-0620,38,0,16
BLMH18_WDOG,HXU,STATE,UNDH,0,1875,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_1,241,B911-0620,39,0,16
BMLH19_WDOG,HXU,STATE,UNDH,0,1975,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_2,241,B911-0620,40,0,16
BLMH20_WDOG,HXU,STATE,UNDH,0,2075,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_3,241,B911-0620,41,0,16
BLMH21_WDOG,HXU,STATE,UNDH,0,2175,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_4,241,B911-0620,42,0,16
BLMH22_WDOG,HXU,STATE,UNDH,0,2275,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_5,241,B911-0620,43,0,16
BLMH13_WDOG,HXU,STATE,UNDH,0,1375,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_2,241,B911-0620,44,0,16
BLMH14_WDOG,HXU,STATE,UNDH,0,1475,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_3,241,B911-0620,45,0,16
BLMH15_WDOG,HXU,STATE,UNDH,0,1575,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_4,241,B911-0620,46,0,16
BLMH16_WDOG,HXU,STATE,UNDH,0,1675,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_5,241,B911-0620,47,0,16
BLMH27_WDOG,HXU,STATE,UNDH,0,2775,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_0,260,B912-1419,34,0,16
BLMH28_WDOG,HXU,STATE,UNDH,0,2875,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_1,260,B912-1419,35,0,16
BLMH29_WDOG,HXU,STATE,UNDH,0,2975,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_2,260,B912-1419,36,0,16
BLMH30_WDOG,HXU,STATE,UNDH,0,3075,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_3,260,B912-1419,37,0,16
BLMH31_WDOG,HXU,STATE,UNDH,0,3175,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_4,260,B912-1419,38,0,16
BLMH32_WDOG,HXU,STATE,UNDH,0,3275,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_5,260,B912-1419,39,0,16
BLMH45_WDOG,HXU,STATE,UNDH,0,4575,MPLN:UNDH:MP06:1:ANA_OVERTHR_CNT_0,260,B912-1419,40,0,16
BLMH46_WDOG,HXU,STATE,UNDH,0,4675,MPLN:UNDH:MP06:1:ANA_OVERTHR_CNT_1,260,B912-1419,41,0,16
BLMH33_WDOG,HXU,STATE,UNDH,0,3375,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_0,260,B912-1419,42,0,16
BLMH34_WDOG,HXU,STATE,UNDH,0,3475,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_1,260,B912-1419,43,0,16
BLMH35_WDOG,HXU,STATE,UNDH,0,3575,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_2,260,B912-1419,44,0,16
BLMH36_WDOG,HXU,STATE,UNDH,0,3675,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_3,260,B912-1419,45,0,16
BLMH37_WDOG,HXU,STATE,UNDH,0,3775,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_4,260,B912-1419,46,0,16
BLMH38_WDOG,HXU,STATE,UNDH,0,3875,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_5,260,B912-1419,47,0,16
BLMH39_WDOG,HXU,STATE,UNDH,0,3975,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_0,294,B913-10725,37,0,16
BLMH40_WDOG,HXU,STATE,UNDH,0,4075,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_1,294,B913-10725,38,0,16
BLMH41_WDOG,HXU,STATE,UNDH,0,4175,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_2,294,B913-10725,39,0,16
BLMH42_WDOG,HXU,STATE,UNDH,0,4275,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_3,294,B913-10725,40,0,16
BLMH43_WDOG,HXU,STATE,UNDH,0,4375,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_4,294,B913-10725,41,0,16
BLMH44_WDOG,HXU,STATE,UNDH,0,4475,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_5,294,B913-10725,42,0,16
BLMS26_WDOG,SXU,STATE,UNDS,0,2610,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_0,254,B911-0634,35,0,16
BLMS27_WDOG,SXU,STATE,UNDS,0,2710,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_1,254,B911-0634,36,0,16
BLMS28_WDOG,SXU,STATE,UNDS,0,2810,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_2,254,B911-0634,37,0,16
BLMS29_WDOG,SXU,STATE,UNDS,0,2910,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_3,254,B911-0634,38,0,16
BLMS30_WDOG,SXU,STATE,UNDS,0,3010,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_4,254,B911-0634,39,0,16
BLMS31_WDOG,SXU,STATE,UNDS,0,3110,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_5,254,B911-0634,40,0,16
BLMS34_WDOG,SXU,STATE,UNDS,0,3410,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_1,254,B911-0634,41,0,16
BLMS35_WDOG,SXU,STATE,UNDS,0,3510,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_2,254,B911-0634,42,0,16
BLMS36_WDOG,SXU,STATE,UNDS,0,3610,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_3,254,B911-0634,43,0,16
BLMS37_WDOG,SXU,STATE,UNDS,0,3710,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_4,254,B911-0634,44,0,16
BLMS38_WDOG,SXU,STATE,UNDS,0,3810,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_5,254,B911-0634,45,0,16
BLMS39_WDOG,SXU,STATE,UNDS,0,3910,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_0,254,B911-0634,46,0,16
BLMS40_WDOG,SXU,STATE,UNDS,0,4010,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_1,254,B911-0634,47,0,16
BLMS41_WDOG,SXU,STATE,UNDS,0,4110,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_2,266,B912-1426,35,0,16
BLMS42_WDOG,SXU,STATE,UNDS,0,4210,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_3,266,B912-1426,36,0,16
BLMS43_WDOG,SXU,STATE,UNDS,0,4310,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_4,266,B912-1426,37,0,16
BLMS44_WDOG,SXU,STATE,UNDS,0,4410,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_5,266,B912-1426,38,0,16
BLMS45_WDOG,SXU,STATE,UNDS,0,4510,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_0,266,B912-1426,39,0,16
BLMS46_WDOG,SXU,STATE,UNDS,0,4610,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_1,266,B912-1426,40,0,16
BLMS47_WDOG,SXU,STATE,UNDS,0,4710,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_2,266,B912-1426,41,0,16
BLMS33_WDOG,SXU,STATE,UNDS,0,3310,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_3,266,B912-1426,42,0,16
BLMS48_WDOG,SXU,STATE,UNDS,0,4810,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_4,266,B912-1426,43,0,16
BLMS32_WDOG,SXU,STATE,UNDS,0,3210,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_5,266,B912-1426,44,0,16
