Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,IS_OK,1,WDOG OK,10,-,-,-
LINAC,IS_FAULTED,2,Software WDOG Fault,1,-,-,-
Diag0,IS_OK,1,WDOG OK,-,10,-,-
Diag0,IS_FAULTED,2,Software WDOG Fault,-,1,-,-
SXU,IS_OK,1,WDOG OK,-,-,10,-
SXU,IS_FAULTED,2,Software WDOG Fault,-,-,1,-
HXU,IS_OK,1,WDOG OK,-,-,-,10
HXU,IS_FAULTED,2,Software WDOG Fault,-,-,-,1
