Device_Location,State_Name,Device_State_Number,Fault_Description,Linac,DIAG0,SXU,HXU
Linac,In,2,Linac Stopper Fault,2,-,-,-
Linac,Moving,3,Stopper Screen Fault,1,-,-,-
Linac,Broken,4,Stopper Screen Fault,1,-,-,-
SXU,In,2,SXU Stopper Fault,3,-,2,-
SXU,Moving,3,SXU Stopper Fault,3,-,1,-
SXU,Broken,4,SXU Stopper Fault,3,-,1,-
HXU,In,2,HXU Stopper Fault,3,-,-,2
HXU,Moving,3,HXU Stopper Fault,3,-,-,1
HXU,Broken,4,HXU Stopper Fault,3,-,-,1
