Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,IS_FAULTED,2,Linac HV Fault,-,-,-,-
Diag0,IS_FAULTED,2,Diag0 HV Fault,-,-,-,-
SXU,IS_FAULTED,2,SXU HV Fault,-,-,1,-
HXU,IS_FAULTED,2,HXU HV Fault,-,-,-,1
