Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
BPMS_4690_Y,SXU,STATE,UNDS,4690,4690,BPMS:UNDS:4690:YCUSBR,367,B105-0131,41,
BPMS_4790_X,SXU,STATE,UNDS,4790,4790,BPMS:UNDS:4790:XCUSBR,367,B105-0131,42,
BPMS_4790_Y,SXU,STATE,UNDS,4790,4790,BPMS:UNDS:4790:YCUSBR,367,B105-0131,43,
BYKIK_TREF,HXU,STATE,LTUH,0,320,TPR:BSYH:MP03:1:TREF,227,B005-L0811,33,
BYKIK_TDES,HXU,STATE,LTUH,0,320,TPR:BSYH:MP03:1:TRG00_SYS0_TDES,227,B005-L0811,34,
BYKIKS_TREF,SXU,STATE,LTUS,0,350,TPR:BSYS:MP04:1:TREF,228,B005-L0716,33,
BYKIKS_TDES,SXU,STATE,LTUS,0,350,TPR:BSYS:MP04:1:TRG00_SYS0_TDES,228,B005-L0716,34,
BKRCUS_TREF,SXU,STATE,CLTS,0,185,TPR:CLTS:MP01:1:TREF,200,B136-0521,33,
BKRCUS_TDES,SXU,STATE,CLTS,0,185,TPR:CLTS:MP01:1:TRG00_SYS0_TDES,200,B136-0521,34,
UMXL1H_Upstream_IN,SXU,STATE,LTUS,0,724,WIGG:LTUS:724:US:EncRbck,266,B912-1426,34,
UMXL1H_Upstream_OUT,SXU,STATE,LTUS,0,724,WIGG:LTUS:724:US:EncRbck,347,B913-10333,33,
UMXL1H_Downstream_IN,SXU,STATE,LTUS,0,724,WIGG:LTUS:724:DS:EncRbck,347,B913-10333,34,
UMXL1H_Downstream_OUT,SXU,STATE,LTUS,0,724,WIGG:LTUS:724:DS:EncRbck,347,B913-10333,35,
UMXL2H_Upstream_IN,SXU,STATE,LTUS,0,726,WIGG:LTUS:726:US:EncRbck,347,B913-10333,36,
UMXL2H_Upstream_OUT,SXU,STATE,LTUS,0,726,WIGG:LTUS:726:US:EncRbck,347,B913-10333,37,
UMXL2H_Downstream_IN,SXU,STATE,LTUS,0,726,WIGG:LTUS:726:DS:EncRbck,347,B913-10333,38,
UMXL2H_Downstream_OUT,SXU,STATE,LTUS,0,726,WIGG:LTUS:726:DS:EncRbck,347,B913-10333,39,
UMXL3H_Upstream_IN,SXU,STATE,LTUS,0,770,WIGG:LTUS:770:US:EncRbck,347,B913-10333,40,
UMXL3H_Upstream_OUT,SXU,STATE,LTUS,0,770,WIGG:LTUS:770:US:EncRbck,347,B913-10333,41,
UMXL3H_Downstream_IN,SXU,STATE,LTUS,0,770,WIGG:LTUS:770:DS:EncRbck,347,B913-10333,42,
UMXL3H_Downstream_OUT,SXU,STATE,LTUS,0,770,WIGG:LTUS:770:DS:EncRbck,347,B913-10333,43,
UMXL4H_Upstream_IN,SXU,STATE,LTUS,0,774,WIGG:LTUS:774:US:EncRbck,347,B913-10333,44,
UMXL4H_Upstream_OUT,SXU,STATE,LTUS,0,774,WIGG:LTUS:774:US:EncRbck,347,B913-10333,45,
UMXL4H_Downstream_IN,SXU,STATE,LTUS,0,774,WIGG:LTUS:774:DS:EncRbck,347,B913-10333,46,
UMXL4H_Downstream_OUT,SXU,STATE,LTUS,0,774,WIGG:LTUS:774:DS:EncRbck,347,B913-10333,47,
IN20_Laser_Heater_Power,LINAC,STATE,IN20,0,475,LASR:IN20:475:PWR,200,B136-0521,35,
MPS:UNDS:1:SXRSS_GUARDIAN_ON,SXU,STATE,UNDS,1,1,MPS:UNDS:1:SXRSS_GUARDIAN_ON,272,B913-10233,33,
MPS:UNDS:1:SXRSS_GUARDIAN_OK,SXU,STATE,UNDS,1,1,MPS:UNDS:1:SXRSS_GUARDIAN_OK,272,B913-10233,34,
MPS:UNDS:1:CBLM_RMON_STATE,SXU,STATE,UNDS,1,1,MPS:UNDS:1:CBLM_RMON_STATE,272,B913-10233,35,
MPS:UNDH:1:CBLM_RMON_STATE,HXU,STATE,UNDH,1,1,MPS:UNDH:1:CBLM_RMON_STATE,294,B913-10725,33,
MPS:UNDH:1:CBLM_WDOG_STATE,HXU,STATE,UNDH,1,1,MPS:UNDH:1:CBLM_WDOG_STATE,294,B913-10725,34,
MPS:UNDS:1:CBLM_WDOG_STATE,SXU,STATE,UNDS,1,1,MPS:UNDS:1:CBLM_WDOG_STATE,272,B913-10233,36,
BEND:UNDS:3510:WDOG_SUM,SXU,STATE,UNDS,3510,3510,BEND:UNDS:3510:WDOG_SUM,306,B921-1433,33,
MPS:UNDS:3500:SX_HRMNC_ENERGY,SXU,STATE,UNDS,3500,3500,MPS:UNDS:3500:SX_HRMNC_ENERGY,306,B921-1433,34,
MPS:UNDS:3500:SX_SS_ENERGY,SXU,STATE,UNDS,3500,3500,MPS:UNDS:3500:SX_SS_ENERGY,306,B921-1433,35,
MPS:UNDS:3500:SX_HRMNC_X,SXU,STATE,UNDS,3500,3500,MPS:UNDS:3500:SX_HRMNC_X,306,B921-1433,36,
MPS:UNDS:3500:SX_SS_X,SXU,STATE,UNDS,3500,3500,MPS:UNDS:3500:SX_SS_X,306,B921-1433,37,
MPS:UNDS:3500:SX_SASE_X,SXU,STATE,UNDS,3500,3500,MPS:UNDS:3500:SX_SASE_X,306,B921-1433,38,
