Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
IM01,LINAC,all,GUNB,-31.004744,360,-,7,L2KA00-0517,0,N/A
IM11B,LINAC,all,COL1,428.039724,119,-,41,L2KG02-2209,0,N/A
FCDG1DU,DIAG0,all,DIAG1,560.991818,530,-,6,L2KA00-0517,0,N/A
IM21B,LINAC,all,EMIT2,1177.151089,156,-,69,L2KG04-2609,0,N/A
IMSP0H,HXU,all,SPH,9387.692359,370,-,184,L2KG29-7D24,0,N/A
IMSP0S,SXU,all,SPS,9629.043586,431,-,181,L2KG29-7D17,0,N/A
IMSP0D,LINAC,all,SPD,9713.612215,700,-,175,L2KG29-7D10,0,N/A
