Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
LBLM:LGUN:479:A,Linac,all,LGUN,44,479:A,L2KG01-21/22,24,L2KG01-1931,1,BCS-BLM-A-P0-3-P1-3
LBLM:LGUN:479:B,Linac,all,LGUN,44,479:B,L2KG01-21/22,24,L2KG01-1931,2,BCS-BLM-B-P0-3-P1-3
LBLM:HTR:170:A,Linac,all,HTR,226,170:A,L2KG01-21/22,24,L2KG01-1931,3,BCS-BLM-A-P1-3-P1-12
LBLM:HTR:170:B,Linac,all,HTR,226,170:B,L2KG01-21/22,24,L2KG01-1931,4,BCS-BLM-B-P1-3-P1-12
LBLM:COL0:911:A,Linac,all,COL0,378,911:A,L2KG02-26,38,L2KG02-2209,0,BCS-BLM-A-P1-12-P2-3
LBLM:L1B:890:A,Linac,all,L1B,378,890:B,L2KG02-26,38,L2KG02-2209,2,BCS-BLM-B-P1-12-P2-3
LBLM:COL0:911:B,Linac,all,COL0,601,911:B,L2KG02-26,38,L2KG02-2209,1,BCS-BLM-A-P2-3-P2-14
LBLM:L1B:890:B,Linac,all,L1B,601,890:B,L2KG02-26,38,L2KG02-2209,3,BCS-BLM-B-P2-3-P2-14
LBLM:L2B:149:A,Linac,all,L2B,1065,149:A,L2KG04-27,66,L2KG04-2609,0,BCS-BLM-A-P2-14-P4-4
LBLM:L2B:149:B,Linac,all,L2B,1065,149:B,L2KG04-27,66,L2KG04-2609,1,BCS-BLM-B-P2-14-P4-4
LBLM:L2B:960:A,Linac,all,L2B,1338,960:A,L2KG05-62,75,L2KG05-6122,0,BCS-BLM-A-P4-4-P5-1
LBLM:L2B:960:B,Linac,all,L2B,1338,960:B,L2KG05-62,75,L2KG05-6122,1,BCS-BLM-B-P4-4-P5-1
LBLM:L3B:177:A,Linac,all,L3B,1671,177:A,L2KG06-60,88,L2KG06-6133,0,BCS-BLM-A-P5-1-P6-2
LBLM:L3B:177:B,Linac,all,L3B,1671,177:B,L2KG06-60,88,L2KG06-6133,1,BCS-BLM-B-P5-1-P6-2
LBLM:L3B:553:A,Linac,all,L3B,2085,553:A,L2KG07-3718,94,L2KG07-3737,0,BCS-BLM-A-P6-2-P7-5
LBLM:L3B:553:B,Linac,all,L3B,2085,553:B,L2KG07-3718,94,L2KG07-3737,1,BCS-BLM-B-P6-2-P7-5
LBLM:L3B:972:A,Linac,all,L3B,2772,972:A,L2KG09-3C21,110,L2KG09-3C33,0,BCS-BLM-P7-5-P9-4
LBLM:DOG:381:A,Linac,all,DOG,3538,381:A,L2KG11-4D18,116,L2KG11-4D33,0,BCS-BLM-P9-4-P11-7
LBLM:DOG:752:A,Linac,all,DOG,4244,752:A,L2KG13-4D21,122,L2KG13-4D33,0,BCS-BLM-P11-7-P13-7
