Name,Number,Description,Value,Mask,Fault,Fault_Description,
I0_T1,1,Current,1,1,I0,Integrator #0 Fault,
I0_T0,2,Current,1,1,I0,Integrator #0 Fault,
I1_T0,3,Current,1,1,I1,Integrator #1 Fault,
