Device_Location,State_Name,Device_State_Number,Fault_Description,Linac,Diag0,SXU,HXU,
Linac,I0_T0,1,Linac Dipole Current Fault,1,-,-,-
CLTS,I0_T0,1,CLTS Dipole Current Fault,-,-,-,-
HXU,I0_T0,1,HXU Dipole Current Fault,-,-,-,1
SXU,I0_T0,1,SXU Dipole Current Fault,-,-,1,-


