Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#2,Drawing_#
BCXH1_PWR,Linac,BEND_POWER,HTR,59.923885,479,L2KG01-51,1,L2KA00-0517,11,12,MISSING
BLRDG0_PWR,Linac,BEND_POWER,DIAG0,113.792552,155,L2KG01-51,1,L2KA00-0517,13,14,MISSING
BYDG0_PWR,Linac,BEND_POWER,DIAG0,166.954918,508,L2KG01-51,1,L2KA00-0517,15,16,MISSING
BCX11_PWR,Linac,BEND_POWER,BC1B,400.840617,192,L2KG02-51,37,L2KG02-2209,10,11,MISSING
BCX21_PWR,Linac,BEND_POWER,BC2B,1094.474252,172,L2KG04-51,61,L2KG04-1923,9,10,MISSING
BRB1_PWR,Linac,BEND_POWER,DOG,2190.102648,105,L2KG08-5125,102,L2KG08-3A33,4,5,MISSING
BLXSPH_PWR,HXU,BEND_POWER,SPH,9197.427831,177,B136-1421,206,B136-0628,16,17,MISSING
BYSP1H_PWR,HXU,BEND_POWER,SPH,9303.579419,284,B136-1421,206,B136-0628,18,19,MISSING
BYSP2H_PWR,HXU,BEND_POWER,SPH,9338.355558,320,B136-1421,206,B136-0628,20,21,MISSING
BRSP1H_PWR,HXU,BEND_POWER,SPH,9390.467917,373,B136-1421,206,B136-0628,22,23,MISSING
BLXSPS1S_PWR,SXU,BEND_POWER,SPS,9483.43833,213,B136-1721,201,B136-0528,16,17,MISSING
BYSP1S_PWR,SXU,BEND_POWER,SPS,9548.260236,310,B136-1721,201,B136-0528,18,19,MISSING
BYSP2S_PWR,SXU,BEND_POWER,SPS,9588.940049,371,B136-1721,201,B136-0528,20,21,MISSING
(SECT 30) BYSP1D_PWR,Linac,BEND_POWER,SPD,9738.277569,725,B136-1321,189,L2KG30-7D13,9,10,MISSING
BX31B_PWR,SXU,BEND_POWER,LTUS,10659.10446,165,B911-3022,254,B911-0622,8,9,MISSING
BX31_PWR,HXU,BEND_POWER,LTUH,10684.384,220,B911-1430,241,B911-0608,10,11,MISSING
BY1B_PWR,SXU,BEND_POWER,LTUS,11057.83963,485,B911-3022,254,B911-0622,10,11,MISSING
BYDSH_PWR,HXU,BEND_POWER,DMPH,12252.81177,380,B921-1134,315,B921-1527,27,28,MISSING
BYDSS_PWR,SXU,BEND_POWER,DMPS,12252.81177,380,B921-5132,305,B921-1433,16,17,MISSING
