Name,Number,Description,Value,Mask,Fault,Fault_Description
OK,1,Waterflow OK,1,4294967295,FLOW,Waterflow Faulted
FAULT,2,Waterflow FAULTED,0,4294967295,FLOW,Waterflow Faulted
