Name,Number,Description,Value,Mask,Fault,Fault_Description
I0_LOSS_T0,1,LBLM Waveform Fault,1,1,I0_LOSS,Beam Loss Fault
I0_LOSS_T1,2,LBLM Waveform Fault,2,2,I0_LOSS,Beam Loss Fault
I0_LOSS_T2,3,LBLM Waveform Fault,4,4,I0_LOSS,Beam Loss Fault
I0_LOSS_T3,4,LBLM Waveform Fault,8,8,I0_LOSS,Beam Loss Fault
I0_LOSS_T4,5,LBLM Waveform Fault,16,16,I0_LOSS,Beam Loss Fault
I0_LOSS_T5,6,LBLM Waveform Fault,32,32,I0_LOSS,Beam Loss Fault
I0_LOSS_T6,7,LBLM Waveform Fault,64,64,I0_LOSS,Beam Loss Fault
I0_LOSS_T7,8,LBLM Waveform Fault,128,128,I0_LOSS,Beam Loss Fault
