Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,BROKEN0,1,Inconsistent State,1,-,-,-
LINAC,BROKEN1,2,Inconsistent State,1,-,-,-
LINAC,VALVE_OPEN,3,Normal Operation,10,-,-,-
LINAC,BROKEN3,4,Inconsistent State,1,-,-,-
LINAC,BROKEN4,5,Inconsistent State,1,-,-,-
LINAC,LSS_MODE,6,Laser Safety System,4,-,-,-
LINAC,BROKEN6,7,Inconsistent State,1,-,-,-
LINAC,BROKEN7,8,Inconsistent State,1,-,-,-
