Name,Number,Description,Value,Mask,Fault,Fault_Description
BROKEN0,1,Broken,0,4294967295,LSS_STATE,Broken State
BROKEN1,2,Broken,1,4294967295,LSS_STATE,Broken State
VALVE_OPEN,3,Normal Operation,2,4294967295,LSS_STATE,Valve Open
BROKEN3,4,Broken,3,4294967295,LSS_STATE,Broken State
BROKEN4,5,Broken,4,4294967295,LSS_STATE,Broken State
LSS_MODE,6,LSS Mode,5,4294967295,LSS_STATE,LSS Mode
BROKEN6,7,Broken,6,4294967295,LSS_STATE,Broken State
BROKEN7,8,Broken,7,4294967295,LSS_STATE,Broken State
