Name,MPS_Signal_Source,MPS_Signal_Type,MPS_Channel_#,Z_Name,O_Name,Alarm_State,Bit_Position,Debounce,auto_reset
P0,MPS Rack,0/24V,1,IS_NOT_ACTIVE,IS_ACTIVE,0,0,10,1
P1,MPS Rack,0/24V,2,IS_NOT_ACTIVE,IS_ACTIVE,0,1,10,1
P2,MPS Rack,0/24V,3,IS_NOT_ACTIVE,IS_ACTIVE,0,2,10,1
P3,MPS Rack,0/24V,4,IS_NOT_ACTIVE,IS_ACTIVE,0,3,10,1
P4,MPS Rack,0/24V,5,IS_NOT_ACTIVE,IS_ACTIVE,0,4,10,1
P5,MPS Rack,0/24V,6,IS_NOT_ACTIVE,IS_ACTIVE,0,5,10,1
P6,MPS Rack,0/24V,7,IS_NOT_ACTIVE,IS_ACTIVE,0,6,10,1
SPARE,MPS Rack,0/24V,8,IS_NOT_ACTIVE,IS_ACTIVE,0,7,10,1
