Name,MPS_Signal_Source,MPS_Signal_Type,MPS_Channel_#,Z_Name,O_Name,Alarm_State,Bit_Position,Alarm_State2,Debounce,auto_reset
OPEN_STATUS,L2KA00-1538,0/24V,1,NOT_OPEN,OPEN,0,0,0,10,1
CLOSED_STATUS,L2KA00-1538,0/24V,2,NOT_CLOSED,CLOSED,0,1,0,10,1
