Name,Number,Description,Value,Mask,Fault,Fault_Description
OUT,1,Stopper Out,1,4294967295,POSITION,Tuneup Dump Out
IN,2,Stopper In,2,4294967295,POSITION,Tuneup Dump Position
MOVING,3,Stopper Moving,0,4294967295,POSITION,Tuneup Dump Position
BROKEN,4,Stopper Broken,3,4294967295,POSITION,Tuneup Dump Position
