Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,IN,2,Stopper Fault,1,-,-,-
LINAC,MOVING,3,Stopper Fault,1,-,-,-
LINAC,BROKEN,4,Stopper Fault,1,-,-,-
LINAC,OUT,1,Stopper Out,10,-,-,-
SXU,IN,2,Stopper Fault,-,-,1,-
SXU,MOVING,3,Stopper Fault,-,-,1,-
SXU,BROKEN,4,Stopper Fault,-,-,1,-
SXU,OUT,1,Stopper Out,-,-,10,-
HXU,IN,2,Stopper Fault,-,-,-,1
HXU,MOVING,3,Stopper Fault,-,-,-,1
HXU,BROKEN,4,Stopper Fault,-,-,-,1
HXU,OUT,1,Stopper Out,-,-,-,10
