Column1,Location,Sector,Rack,Elevation,Num_Slots,Shelf_Number,Crate_Id,LN_Area,LN_Location,LN_Type,LN_Slot,LCLS1_ID,Group,Group_Link,Group_Link_Destination,Beam_Line,Network_Drawing,CPU_Name,Fiber_id
54,L2KG30-7D13,LI30,7D,13,7,0,0,SPD,MP04,2,2,95,14,0,1,DMP,SD-144-182-16-C0,cpu-spd-sp04,
55,L2KG30-7D20,LI30,7D,20,7,0,0,SPS,MP04,2,2,194,12,4,201,SXR,SD-144-182-14-C0,cpu-sps-sp04,
56,L2KG30-7D27,LI30,7D,27,7,0,0,SPH,MP05,2,2,124,13,4,201,HXR,SD-144-182-15-C0,cpu-sph-sp05,
57,B136-0521,CLTS,5,21,7,0,0,CLTS,MP01,1,2,195,16,0,1,CLTS,SD-144-182-18-C0,cpu-sps-sp05,
58,B136-0528,LTUS,5,28,7,0,0,SPS,MP05;MP06;MP07,3,2;5;6,196,16,1,2,SXR,SD-144-182-18-C0,cpu-sps-sp05,
59,B136-0628,LTUH,6,28,7,0,0,SPH,MP06;MP07,3,2;5,125,15,0,1,HXR,SD-144-182-17-C0,cpu-sph-sp06,
60,B106-0117,LTU,1,LTUS,7,0,0,SLTD,MP01,3,2,96,14,4,201,DMP,SD-144-182-16-C0,cpu-sltd-sp01,
61,B106-0124,LTU,1,24,7,0,0,BSYH,MP01;MP02,3,2;6,126,15,1,2,HXR,SD-144-182-17-C0,cpu-bsyh-sp01,
62,B106-0131,LTU,1,31,7,0,0,BSYS,MP01;MP02;MP03,3,2;5;6,197,16,2,3,SXR,SD-144-182-18-C0,cpu-bsys-sp01,
63,B005-L08xx,LTU,L08,XX,7,0,0,BSYH,MP03,3,2,127,15,4,201,HXR,SD-144-182-17-C0,cpu-bsys-sp02,
64,B005-L0722,LTU,L07,22,7,0,0,BSYS,MP04,3,2,198,16,4,201,SXR,SD-144-182-18-C0,cpu-bsyh-sp02,
65,B105-0117,LTU,1,17,7,0,0,LTUH,MP01,3,2,128,15,3,4,HXR,SD-144-182-16-C0,cpu-bsya-sp01,
66,B105-0124,LTU,1,24,7,0,0,LTUH,MP02,3,2,129,15,2,3,HXR,SD-144-182-17-C0,cpu-ltuh-sp01,
67,B105-0131,LTU,1,31,7,0,0,LTUS,MP01,3,2,199,16,3,4,SXR,SD-144-182-18-C0,cpu-ltus-sp01,
68,B911-0608,UND,6,8,7,0,0,LTUH,MP03,3,2,130,19,1,2,HXR,SD-144-182-21-C0,cpu-ltuh-sp02,
69,B911-0615,UND,6,15,7,0,0,LTUS,MP02,3,2,200,17,4,201,SXR,SD-144-182-19-C0,cpu-ltus-sp02,
70,B911-0622,UND,6,22,7,0,1,LTUS,MP03,3,2,201,17,3,4,SXR,SD-144-182-19-C0,cpu-ltus-sp02,
71,B911-0537,UND,5,37,7,0,1,LTUH,MP04,3,2,131,19,2,201,HXR,SD-144-182-21-C0,cpu-ltuh-sp02,
72,B912-1419,UND,14,19,7,0,0,LTUH,MP05;MP06,3,2;6,132,19,0,1,HXR,SD-144-182-21-C0,cpu-ltuh-sp03,
73,B912-1426,UND,14,26,7,0,0,LTUS,MP04;MP05,3,2;6,202,17,2,3,SXR,SD-144-182-19-C0,cpu-ltus-sp03,
74,B913-10233,UND,102,33,7,0,0,UNDS,MP01,3,2,203,17,1,2,SXR,SD-144-182-19-C0,cpu-unds-sp01,
75,B913-10333,UND,103,33,7,0,0,LTUS,MP06,3,2,204,17,0,1,SXR,SD-144-182-19-C0,cpu-ltus-sp04,
76,B913-10711,UND,107,11,7,0,0,UNDH,MP01;MP02,3,2;7,133,18,0,1,HXR,SD-144-182-20-C0,cpu-undh-sp01,
