Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
SIOC_SPH_MP06_WDOG,HXU,STATE,SPH,0,0,SIOC:SPH:MP06:HEARTBEAT,206,B136-0628,32,0
SIOC_SPH_MP07_WDOG,HXU,STATE,SPH,0,0,SIOC:SPH:MP07:HEARTBEAT,206,B136-0628,33,0
SIOC_SLTD_MP01_WDOG,LINAC,STATE,SLTD,0,0,SIOC:SLTD:MP01:HEARTBEAT,211,B106-0117,32,0
SIOC_BSYH_MP01_WDOG,HXU,STATE,BSYH,0,0,SIOC:BSYH:MP01:HEARTBEAT,215,B106-0124,32,0
SIOC_BSYH_MP02_WDOG,HXU,STATE,BSYH,0,0,SIOC:BSYH:MP02:HEARTBEAT,215,B106-0124,33,0
SIOC_BSYH_MP03_WDOG,HXU,STATE,BSYH,0,0,SIOC:BSYH:MP03:HEARTBEAT,227,B005-L0811,32,0
SIOC_LTUH_MP01_WDOG,HXU,STATE,LTUH,0,0,SIOC:LTUH:MP01:HEARTBEAT,229,B105-0117,32,0
SIOC_LTUH_MP02_WDOG,HXU,STATE,LTUH,0,0,SIOC:LTUH:MP02:HEARTBEAT,366,B105-0124,32,0
SIOC_LTUH_MP03_WDOG,HXU,STATE,LTUH,0,0,SIOC:LTUH:MP03:HEARTBEAT,241,B911-0620,32,0
SIOC_LTUH_MP04_WDOG,HXU,STATE,LTUH,0,0,SIOC:LTUH:MP04:HEARTBEAT,369,B911-0537,32,0
SIOC_LTUH_MP05_WDOG,HXU,STATE,LTUH,0,0,SIOC:LTUH:MP05:HEARTBEAT,260,B912-1419,32,0
SIOC_LTUH_MP06_WDOG,HXU,STATE,LTUH,0,0,SIOC:LTUH:MP06:HEARTBEAT,260,B912-1419,33,0
SIOC_UNDH_MP01_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP01:HEARTBEAT,348,B913-10711,32,0
