Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Mapping,Cable_HV,Cable_#,offset,slope
PBLM:HTR:615,LINAC,all,HTR,71.879751,615,L2KA00-0513,2,L2KA00-0517,2,MISSING,OK,L2A05247,L2A05258,0,1
PBLM:COL0:386,LINAC,all,COL0,150.97,386,L2KG01-2010,17,L2KG01-1925,0,MISSING,OK,L2A05248,L2A05259,0,1
PBLM:COL0:476,LINAC,all,COL0,164.099,476,L2KG01-2010,17,L2KG01-1925,1,MISSING,OK,L2A05249,L2A05260,0,1
PBLM:COL0:745,LINAC,all,COL0,203.469291,745,L2KG01-2010,17,L2KG01-1925,2,MISSING,OK,L2A05250,L2A05261,0,1
PBLM:COL0:835,LINAC,all,COL0,216.592651,835,L2KG01-2010,17,L2KG01-1925,3,MISSING,OK,L2A05251,L2A05262,0,1
PBLM:BC1B:539,LINAC,all,BC1B,398.62206,539,L2KG02-2313,48,L2KG02-2323,0,MISSING,OK,L2A05252,L2A05263,0,1
PBLM:COL1:422,LINAC,all,COL1,478.182585,422,L2KG02-2310,48,L2KG02-2323,1,MISSING,OK,L2A05253,L2A05264,0,1
PBLM:COL1:501,LINAC,all,COL1,491.305945,501,L2KG02-2310,48,L2KG02-2323,2,MISSING,OK,L2A05254,L2A05265,0,1
PBLM:COL1:739,LINAC,all,COL1,530.676024,739,L2KG02-2310,48,L2KG02-2323,3,MISSING,OK,L2A05255,L2A05266,0,1
PBLM:COL1:818,LINAC,all,COL1,543.799383,818,L2KG02-2310,48,L2KG02-2323,4,MISSING,OK,L2A05256,L2A05267,0,1
PBLM:BC2B:569,LINAC,all,BC2B,1131.312178,569,L2KG04-2626,66,L2KG04-2609,4,MISSING,OK,L2A05257,L2A05268,0,1
PBLM:DOG:128,LINAC,all,DOG,2235.182306,128,L2KG07-3710,94,L2KG07-3737,2,MISSING,OK,L2A05270,L2A05271,0,1
