Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Measured_Device_Type_Id
GUN,LINAC,STATE,GUNB,-32.95,100,LLRF Card,5,L2KA00-0517,0,N/A,6
BUNCHER,LINAC,STATE,GUNB,-30.300364,455,LLRF Card,5,L2KA00-0517,4,N/A,7
CM01-Cavity1,LINAC,STATE,L0B,-3.369718,0110,LLRF Card,13,L2KA00-0608,0,N/A,7
CM01-Cavity2,LINAC,STATE,L0B,-3.369718,0120,LLRF Card,13,L2KA00-0608,1,N/A,7
CM01-Cavity3,LINAC,STATE,L0B,-3.369718,0130,LLRF Card,13,L2KA00-0608,2,N/A,7
CM01-Cavity4,LINAC,STATE,L0B,-3.369718,0140,LLRF Card,13,L2KA00-0608,3,N/A,7
CM01-Cavity5,LINAC,STATE,L0B,-3.369718,0150,LLRF Card,13,L2KA00-0608,4,N/A,7
CM01-Cavity6,LINAC,STATE,L0B,-3.369718,0160,LLRF Card,13,L2KA00-0608,5,N/A,7
CM01-Cavity7,LINAC,STATE,L0B,-3.369718,0170,LLRF Card,13,L2KA00-0608,6,N/A,7
CM01-Cavity8,LINAC,STATE,L0B,-3.369718,0180,LLRF Card,13,L2KA00-0608,7,N/A,7
CM02-Cavity1,LINAC,STATE,L1B,279.135794,0210,LLRF Card,13,L2KA00-0608,8,N/A,7
CM02-Cavity2,LINAC,STATE,L1B,279.135794,0220,LLRF Card,13,L2KA00-0608,9,N/A,7
CM02-Cavity3,LINAC,STATE,L1B,279.135794,0230,LLRF Card,13,L2KA00-0608,10,N/A,7
CM02-Cavity4,LINAC,STATE,L1B,279.135794,0240,LLRF Card,13,L2KA00-0608,11,N/A,7
CM02-Cavity5,LINAC,STATE,L1B,279.135794,0250,LLRF Card,13,L2KA00-0608,12,N/A,7
CM02-Cavity6,LINAC,STATE,L1B,279.135794,0260,LLRF Card,13,L2KA00-0608,13,N/A,7
CM02-Cavity7,LINAC,STATE,L1B,279.135794,0270,LLRF Card,13,L2KA00-0608,14,N/A,7
CM02-Cavity8,LINAC,STATE,L1B,279.135794,0280,LLRF Card,13,L2KA00-0608,15,N/A,7
CM03-Cavity1,LINAC,STATE,L1B,319.228937,0310,LLRF Card,14,L2KA00-0608,0,N/A,7
CM03-Cavity2,LINAC,STATE,L1B,319.228937,0320,LLRF Card,14,L2KA00-0608,1,N/A,7
CM03-Cavity3,LINAC,STATE,L1B,319.228937,0330,LLRF Card,14,L2KA00-0608,2,N/A,7
CM03-Cavity4,LINAC,STATE,L1B,319.228937,0340,LLRF Card,14,L2KA00-0608,3,N/A,7
CM03-Cavity5,LINAC,STATE,L1B,319.228937,0350,LLRF Card,14,L2KA00-0608,4,N/A,7
CM03-Cavity6,LINAC,STATE,L1B,319.228937,0360,LLRF Card,14,L2KA00-0608,5,N/A,7
CM03-Cavity7,LINAC,STATE,L1B,319.228937,0370,LLRF Card,14,L2KA00-0608,6,N/A,7
CM03-Cavity8,LINAC,STATE,L1B,319.228937,0380,LLRF Card,14,L2KA00-0608,7,N/A,7
CM04-Cavity1,LINAC,STATE,L2B,610.885833,0410,LLRF Card,14,L2KA00-0608,8,N/A,7
CM04-Cavity2,LINAC,STATE,L2B,610.885833,0420,LLRF Card,14,L2KA00-0608,9,N/A,7
CM04-Cavity3,LINAC,STATE,L2B,610.885833,0430,LLRF Card,14,L2KA00-0608,10,N/A,7
CM04-Cavity4,LINAC,STATE,L2B,610.885833,0440,LLRF Card,14,L2KA00-0608,11,N/A,7
CM04-Cavity5,LINAC,STATE,L2B,610.885833,0450,LLRF Card,14,L2KA00-0608,12,N/A,7
CM04-Cavity6,LINAC,STATE,L2B,610.885833,0460,LLRF Card,14,L2KA00-0608,13,N/A,7
CM04-Cavity7,LINAC,STATE,L2B,610.885833,0470,LLRF Card,14,L2KA00-0608,14,N/A,7
CM04-Cavity8,LINAC,STATE,L2B,610.885833,0480,LLRF Card,14,L2KA00-0608,15,N/A,7
HL01-Cavity1,LINAC,STATE,L1B,343.556004,H110,LLRF Card,15,L2KA00-0608,0,N/A,7
HL01-Cavity2,LINAC,STATE,L1B,343.556004,H120,LLRF Card,15,L2KA00-0608,1,N/A,7
HL01-Cavity3,LINAC,STATE,L1B,343.556004,H130,LLRF Card,15,L2KA00-0608,2,N/A,7
HL01-Cavity4,LINAC,STATE,L1B,343.556004,H140,LLRF Card,15,L2KA00-0608,3,N/A,7
HL01-Cavity5,LINAC,STATE,L1B,343.556004,H150,LLRF Card,15,L2KA00-0608,4,N/A,7
HL01-Cavity6,LINAC,STATE,L1B,343.556004,H160,LLRF Card,15,L2KA00-0608,5,N/A,7
HL01-Cavity7,LINAC,STATE,L1B,343.556004,H170,LLRF Card,15,L2KA00-0608,6,N/A,7
HL01-Cavity8,LINAC,STATE,L1B,343.556004,H180,LLRF Card,15,L2KA00-0608,7,N/A,7
HL02-Cavity1,LINAC,STATE,L1B,365.060269,H210,LLRF Card,15,L2KA00-0608,8,N/A,7
HL02-Cavity2,LINAC,STATE,L1B,365.060269,H220,LLRF Card,15,L2KA00-0608,9,N/A,7
HL02-Cavity3,LINAC,STATE,L1B,365.060269,H230,LLRF Card,15,L2KA00-0608,10,N/A,7
HL02-Cavity4,LINAC,STATE,L1B,365.060269,H240,LLRF Card,15,L2KA00-0608,11,N/A,7
HL02-Cavity5,LINAC,STATE,L1B,365.060269,H250,LLRF Card,15,L2KA00-0608,12,N/A,7
HL02-Cavity6,LINAC,STATE,L1B,365.060269,H260,LLRF Card,15,L2KA00-0608,13,N/A,7
HL02-Cavity7,LINAC,STATE,L1B,365.060269,H270,LLRF Card,15,L2KA00-0608,14,N/A,7
HL02-Cavity8,LINAC,STATE,L1B,365.060269,H280,LLRF Card,15,L2KA00-0608,15,N/A,7
CM05-Cavity1,LINAC,STATE,L2B,650.978976,0510,LLRF Card,36,L2KG01-2037,0,N/A,7
CM05-Cavity2,LINAC,STATE,L2B,650.978976,0520,LLRF Card,36,L2KG01-2037,1,N/A,7
CM05-Cavity3,LINAC,STATE,L2B,650.978976,0530,LLRF Card,36,L2KG01-2037,2,N/A,7
CM05-Cavity4,LINAC,STATE,L2B,650.978976,0540,LLRF Card,36,L2KG01-2037,3,N/A,7
CM05-Cavity5,LINAC,STATE,L2B,650.978976,0550,LLRF Card,36,L2KG01-2037,4,N/A,7
CM05-Cavity6,LINAC,STATE,L2B,650.978976,0560,LLRF Card,36,L2KG01-2037,5,N/A,7
CM05-Cavity7,LINAC,STATE,L2B,650.978976,0570,LLRF Card,36,L2KG01-2037,6,N/A,7
CM05-Cavity8,LINAC,STATE,L2B,650.978976,0580,LLRF Card,36,L2KG01-2037,7,N/A,7
CM06-Cavity1,LINAC,STATE,L2B,691.072119,0610,LLRF Card,36,L2KG01-2037,8,N/A,7
CM06-Cavity2,LINAC,STATE,L2B,691.072119,0620,LLRF Card,36,L2KG01-2037,9,N/A,7
CM06-Cavity3,LINAC,STATE,L2B,691.072119,0630,LLRF Card,36,L2KG01-2037,10,N/A,7
CM06-Cavity4,LINAC,STATE,L2B,691.072119,0640,LLRF Card,36,L2KG01-2037,11,N/A,7
CM06-Cavity5,LINAC,STATE,L2B,691.072119,0650,LLRF Card,36,L2KG01-2037,12,N/A,7
CM06-Cavity6,LINAC,STATE,L2B,691.072119,0660,LLRF Card,36,L2KG01-2037,13,N/A,7
CM06-Cavity7,LINAC,STATE,L2B,691.072119,0670,LLRF Card,36,L2KG01-2037,14,N/A,7
CM06-Cavity8,LINAC,STATE,L2B,691.072119,0680,LLRF Card,36,L2KG01-2037,15,N/A,7
CM07-Cavity1,LINAC,STATE,L2B,731.165262,0710,LLRF Card,35,L2KG01-2037,0,N/A,7
CM07-Cavity2,LINAC,STATE,L2B,731.165262,0720,LLRF Card,35,L2KG01-2037,1,N/A,7
CM07-Cavity3,LINAC,STATE,L2B,731.165262,0730,LLRF Card,35,L2KG01-2037,2,N/A,7
CM07-Cavity4,LINAC,STATE,L2B,731.165262,0740,LLRF Card,35,L2KG01-2037,3,N/A,7
CM07-Cavity5,LINAC,STATE,L2B,731.165262,0750,LLRF Card,35,L2KG01-2037,4,N/A,7
CM07-Cavity6,LINAC,STATE,L2B,731.165262,0760,LLRF Card,35,L2KG01-2037,5,N/A,7
CM07-Cavity7,LINAC,STATE,L2B,731.165262,0770,LLRF Card,35,L2KG01-2037,6,N/A,7
CM07-Cavity8,LINAC,STATE,L2B,731.165262,0780,LLRF Card,35,L2KG01-2037,7,N/A,7
CM08-Cavity1,LINAC,STATE,L2B,771.258406,0810,LLRF Card,35,L2KG01-2037,8,N/A,7
CM08-Cavity2,LINAC,STATE,L2B,771.258406,0820,LLRF Card,35,L2KG01-2037,9,N/A,7
CM08-Cavity3,LINAC,STATE,L2B,771.258406,0830,LLRF Card,35,L2KG01-2037,10,N/A,7
CM08-Cavity4,LINAC,STATE,L2B,771.258406,0840,LLRF Card,35,L2KG01-2037,11,N/A,7
CM08-Cavity5,LINAC,STATE,L2B,771.258406,0850,LLRF Card,35,L2KG01-2037,12,N/A,7
CM08-Cavity6,LINAC,STATE,L2B,771.258406,0860,LLRF Card,35,L2KG01-2037,13,N/A,7
CM08-Cavity7,LINAC,STATE,L2B,771.258406,0870,LLRF Card,35,L2KG01-2037,14,N/A,7
CM08-Cavity8,LINAC,STATE,L2B,771.258406,0880,LLRF Card,35,L2KG01-2037,15,N/A,7
CM09-Cavity1,LINAC,STATE,L2B,811.351549,0910,LLRF Card,60,L2KG03-6033,0,N/A,7
CM09-Cavity2,LINAC,STATE,L2B,811.351549,0920,LLRF Card,60,L2KG03-6033,1,N/A,7
CM09-Cavity3,LINAC,STATE,L2B,811.351549,0930,LLRF Card,60,L2KG03-6033,2,N/A,7
CM09-Cavity4,LINAC,STATE,L2B,811.351549,0940,LLRF Card,60,L2KG03-6033,3,N/A,7
CM09-Cavity5,LINAC,STATE,L2B,811.351549,0950,LLRF Card,60,L2KG03-6033,4,N/A,7
CM09-Cavity6,LINAC,STATE,L2B,811.351549,0960,LLRF Card,60,L2KG03-6033,5,N/A,7
CM09-Cavity7,LINAC,STATE,L2B,811.351549,0970,LLRF Card,60,L2KG03-6033,6,N/A,7
CM09-Cavity8,LINAC,STATE,L2B,811.351549,0980,LLRF Card,60,L2KG03-6033,7,N/A,7
CM10-Cavity1,LINAC,STATE,L2B,851.444692,1010,LLRF Card,60,L2KG03-6033,8,N/A,7
CM10-Cavity2,LINAC,STATE,L2B,851.444692,1020,LLRF Card,60,L2KG03-6033,9,N/A,7
CM10-Cavity3,LINAC,STATE,L2B,851.444692,1030,LLRF Card,60,L2KG03-6033,10,N/A,7
CM10-Cavity4,LINAC,STATE,L2B,851.444692,1040,LLRF Card,60,L2KG03-6033,11,N/A,7
CM10-Cavity5,LINAC,STATE,L2B,851.444692,1050,LLRF Card,60,L2KG03-6033,12,N/A,7
CM10-Cavity6,LINAC,STATE,L2B,851.444692,1060,LLRF Card,60,L2KG03-6033,13,N/A,7
CM10-Cavity7,LINAC,STATE,L2B,851.444692,1070,LLRF Card,60,L2KG03-6033,14,N/A,7
CM10-Cavity8,LINAC,STATE,L2B,851.444692,1080,LLRF Card,60,L2KG03-6033,15,N/A,7
CM11-Cavity1,LINAC,STATE,L2B,891.537835,1110,LLRF Card,74,L2KG04-2609,0,N/A,7
CM11-Cavity2,LINAC,STATE,L2B,891.537835,1120,LLRF Card,74,L2KG04-2609,1,N/A,7
CM11-Cavity3,LINAC,STATE,L2B,891.537835,1130,LLRF Card,74,L2KG04-2609,2,N/A,7
CM11-Cavity4,LINAC,STATE,L2B,891.537835,1140,LLRF Card,74,L2KG04-2609,3,N/A,7
CM11-Cavity5,LINAC,STATE,L2B,891.537835,1150,LLRF Card,74,L2KG04-2609,4,N/A,7
CM11-Cavity6,LINAC,STATE,L2B,891.537835,1160,LLRF Card,74,L2KG04-2609,5,N/A,7
CM11-Cavity7,LINAC,STATE,L2B,891.537835,1170,LLRF Card,74,L2KG04-2609,6,N/A,7
CM11-Cavity8,LINAC,STATE,L2B,891.537835,1180,LLRF Card,74,L2KG04-2609,7,N/A,7
CM12-Cavity1,LINAC,STATE,L2B,931.630978,1210,LLRF Card,74,L2KG04-2609,8,N/A,7
CM12-Cavity2,LINAC,STATE,L2B,931.630978,1220,LLRF Card,74,L2KG04-2609,9,N/A,7
CM12-Cavity3,LINAC,STATE,L2B,931.630978,1230,LLRF Card,74,L2KG04-2609,10,N/A,7
CM12-Cavity4,LINAC,STATE,L2B,931.630978,1240,LLRF Card,74,L2KG04-2609,11,N/A,7
CM12-Cavity5,LINAC,STATE,L2B,931.630978,1250,LLRF Card,74,L2KG04-2609,12,N/A,7
CM12-Cavity6,LINAC,STATE,L2B,931.630978,1260,LLRF Card,74,L2KG04-2609,13,N/A,7
CM12-Cavity7,LINAC,STATE,L2B,931.630978,1270,LLRF Card,74,L2KG04-2609,14,N/A,7
CM12-Cavity8,LINAC,STATE,L2B,931.630978,1280,LLRF Card,74,L2KG04-2609,15,N/A,7
CM13-Cavity1,LINAC,STATE,L2B,971.724121,1310,LLRF Card,68,L2KG04-2609,0,N/A,7
CM13-Cavity2,LINAC,STATE,L2B,971.724121,1320,LLRF Card,68,L2KG04-2609,1,N/A,7
CM13-Cavity3,LINAC,STATE,L2B,971.724121,1330,LLRF Card,68,L2KG04-2609,2,N/A,7
CM13-Cavity4,LINAC,STATE,L2B,971.724121,1340,LLRF Card,68,L2KG04-2609,3,N/A,7
CM13-Cavity5,LINAC,STATE,L2B,971.724121,1350,LLRF Card,68,L2KG04-2609,4,N/A,7
CM13-Cavity6,LINAC,STATE,L2B,971.724121,1360,LLRF Card,68,L2KG04-2609,5,N/A,7
CM13-Cavity7,LINAC,STATE,L2B,971.724121,1370,LLRF Card,68,L2KG04-2609,6,N/A,7
CM13-Cavity8,LINAC,STATE,L2B,971.724121,1380,LLRF Card,68,L2KG04-2609,7,N/A,7
CM14-Cavity1,LINAC,STATE,L2B,1011.817264,1410,LLRF Card,68,L2KG04-2609,8,N/A,7
CM14-Cavity2,LINAC,STATE,L2B,1011.817264,1420,LLRF Card,68,L2KG04-2609,9,N/A,7
CM14-Cavity3,LINAC,STATE,L2B,1011.817264,1430,LLRF Card,68,L2KG04-2609,10,N/A,7
CM14-Cavity4,LINAC,STATE,L2B,1011.817264,1440,LLRF Card,68,L2KG04-2609,11,N/A,7
CM14-Cavity5,LINAC,STATE,L2B,1011.817264,1450,LLRF Card,68,L2KG04-2609,12,N/A,7
CM14-Cavity6,LINAC,STATE,L2B,1011.817264,1460,LLRF Card,68,L2KG04-2609,13,N/A,7
CM14-Cavity7,LINAC,STATE,L2B,1011.817264,1470,LLRF Card,68,L2KG04-2609,14,N/A,7
CM14-Cavity8,LINAC,STATE,L2B,1011.817264,1480,LLRF Card,68,L2KG04-2609,15,N/A,7
CM15-Cavity1,LINAC,STATE,L2B,1051.910407,1510,LLRF Card,64,L2KG04-1923,0,N/A,7
CM15-Cavity2,LINAC,STATE,L2B,1052.910407,1520,LLRF Card,64,L2KG04-1923,1,N/A,7
CM15-Cavity3,LINAC,STATE,L2B,1053.910407,1530,LLRF Card,64,L2KG04-1923,2,N/A,7
CM15-Cavity4,LINAC,STATE,L2B,1054.910407,1540,LLRF Card,64,L2KG04-1923,3,N/A,7
CM15-Cavity5,LINAC,STATE,L2B,1055.910407,1550,LLRF Card,64,L2KG04-1923,4,N/A,7
CM15-Cavity6,LINAC,STATE,L2B,1056.910407,1560,LLRF Card,64,L2KG04-1923,5,N/A,7
CM15-Cavity7,LINAC,STATE,L2B,1057.910407,1570,LLRF Card,64,L2KG04-1923,6,N/A,7
CM15-Cavity8,LINAC,STATE,L2B,1058.910407,1580,LLRF Card,64,L2KG04-1923,7,N/A,7
CM16-Cavity1,LINAC,STATE,L3B,1303.622867,1610,LLRF Card,64,L2KG04-1923,8,N/A,7
CM16-Cavity2,LINAC,STATE,L3B,1304.622867,1620,LLRF Card,64,L2KG04-1923,9,N/A,7
CM16-Cavity3,LINAC,STATE,L3B,1305.622867,1630,LLRF Card,64,L2KG04-1923,10,N/A,7
CM16-Cavity4,LINAC,STATE,L3B,1306.622867,1640,LLRF Card,64,L2KG04-1923,11,N/A,7
CM16-Cavity5,LINAC,STATE,L3B,1307.622867,1650,LLRF Card,64,L2KG04-1923,12,N/A,7
CM16-Cavity6,LINAC,STATE,L3B,1308.622867,1660,LLRF Card,64,L2KG04-1923,13,N/A,7
CM16-Cavity7,LINAC,STATE,L3B,1309.622867,1670,LLRF Card,64,L2KG04-1923,14,N/A,7
CM16-Cavity8,LINAC,STATE,L3B,1310.622867,1680,LLRF Card,64,L2KG04-1923,15,N/A,7
CM17-Cavity1,LINAC,STATE,L3B,1343.71601,1710,LLRF Card,76,L2KG05-6122,0,N/A,7
CM17-Cavity2,LINAC,STATE,L3B,1343.71601,1720,LLRF Card,76,L2KG05-6122,1,N/A,7
CM17-Cavity3,LINAC,STATE,L3B,1343.71601,1730,LLRF Card,76,L2KG05-6122,2,N/A,7
CM17-Cavity4,LINAC,STATE,L3B,1343.71601,1740,LLRF Card,76,L2KG05-6122,3,N/A,7
CM17-Cavity5,LINAC,STATE,L3B,1343.71601,1750,LLRF Card,76,L2KG05-6122,4,N/A,7
CM17-Cavity6,LINAC,STATE,L3B,1343.71601,1760,LLRF Card,76,L2KG05-6122,5,N/A,7
CM17-Cavity7,LINAC,STATE,L3B,1343.71601,1770,LLRF Card,76,L2KG05-6122,6,N/A,7
