Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,DISCONNECTED,1,On/Off Fault (both signals low),1,-,-,-
LINAC,OFF,2,Dipole OFF,1,-,-,-
LINAC,BROKEN,4,On/Off Fault (both signals high),1,-,-,-
SXU,DISCONNECTED,1,On/Off Fault (both signals low),-,-,1,-
SXU,OFF,2,Dipole OFF,-,-,1,-
SXU,BROKEN,4,On/Off Fault (both signals high),-,-,1,-
HXU,DISCONNECTED,1,On/Off Fault (both signals low),-,-,-,1
HXU,OFF,2,Dipole OFF,-,-,-,1
HXU,BROKEN,4,On/Off Fault (both signals high),-,-,-,1
CLTS,DISCONNECTED,1,On/Off Fault (both signals low),-,-,-,-
CLTS,OFF,2,Dipole OFF,-,-,-,-
CLTS,BROKEN,3,On/Off Fault (both signals high),-,-,-,-
