Name,Number,Description,Value,Mask,Fault,Fault_Description
Speed OK,1,FastWire Speed is OK,1,4294967295,NONE,NONE
Speed not OK,2,FastWire Speed is NOT OK,0,4294967295,WIRE,Fast Wire Speed Fault
