Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
SIOC_BSYS_MP03_WDOG,SXU,WDOG,BSYS,0,0,SIOC:BSYS:MP03:HEARTBEAT,221,B106-0131,34,0
SIOC_BSYS_MP04_WDOG,SXU,WDOG,BSYS,0,0,SIOC:BSYS:MP04:HEARTBEAT,228,B005-L0716,32,0
SIOC_LTUS_MP01_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP01:HEARTBEAT,254,B911-0634,32,0
SIOC_LTUS_MP02_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP02:HEARTBEAT,254,B911-0634,33,0
SIOC_LTUS_MP03_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP03:HEARTBEAT,254,B911-0634,34,0
SIOC_LTUS_MP04_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP04:HEARTBEAT,266,B912-1426,32,0
SIOC_LTUS_MP05_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP05:HEARTBEAT,266,B912-1426,33,0
SIOC_LTUS_MP06_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP06:HEARTBEAT,266,B912-1426,34,0
SIOC_UNDS_MP01_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP01:HEARTBEAT,272,B913-10233,32,0
SIOC_UNDS_MP02_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP02:HEARTBEAT,306,B921-1433,32,0
SIOC_UNDS_MP03_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP03:HEARTBEAT,306,B921-1433,33,0
SIOC_UNDS_MP04_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP04:HEARTBEAT,306,B921-1433,34,0
SIOC_UNDS_MP05_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP05:HEARTBEAT,306,B921-1433,35,0
SIOC_UNDS_MP06_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP06:HEARTBEAT,306,B921-1433,36,0
SIOC_UNDS_MP07_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP07:HEARTBEAT,306,B921-1433,37,0
SIOC_FEES_MP01_WDOG,SXU,WDOG,FEES,0,0,SIOC:FEES:MP01:HEARTBEAT,342,B940-009-R7,32,0

