Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
CEHTR,Linac,COLL_POSITION,HTR,71.879751,615,Digital,23,L2KG01-1931,21,WD37604200 L2A00001 (station -34)
CYC01,-,-,COL0,150.975853,386,-,-,-,-,-
CXC01,-,-,COL0,164.099213,476,-,-,-,-,-
CYC03,-,-,COL0,203.469291,745,-,-,-,-,-
CXC03,-,-,COL0,216.592651,835,-,-,-,-,-
CE11B,-,-,BC1B,411.184547,539,-,-,-,-,-
CYC11,-,-,COL1,478.182585,422,-,-,-,-,-
CXC11,-,-,COL1,491.305945,501,-,-,-,-,-
CYC13,-,-,COL1,530.676024,739,-,-,-,-,-
CXC13,-,-,COL1,543.799383,818,-,-,-,-,-
CE21B,-,-,BC2B,1131.312178,569,-,-,-,-,-
CEDOG,-,-,DOG,2235.182306,128,-,-,-,-,-
CXBP21,-,-,BPN21,6791,441,,-,-,-,-
CYBP22,-,-,BPN22,7126.499354,441,-,-,-,-,-
CXBP25,-,-,BPN25,8126.499354,441,-,-,-,-,-
CYBP26,-,-,BPN26,8459.832687,441,-,-,-,-,-
CXBP30,-,-,SLTS,10200.22803,431,-,-,-,-,-
CXBP34,-,-,BSYS,10485.68748,854,-,-,-,-,-
CXQ6,-,-,BSYH,10508.8283,891,-,-,-,-,-
CYBDL,-,-,LTUS,10583.24286,105,-,-,-,-,-
CEDL13,-,-,LTUS,10717.79216,212,-,-,-,-,-
CEDL1,-,-,LTUH,10736.30717,252,-,-,-,-,-
CYBX32,-,-,LTUH,10771.82688,361,-,-,-,-,-
CYDL16,-,-,LTUS,10844.24658,314,-,-,-,-,-
CXQT22,-,-,LTUH,10910.24336,369,-,-,-,-,-
CEDL17,-,-,LTUS,10885.08595,347,-,-,-,-,-
CEDL3,-,-,LTUH,10971.26088,418,-,-,-,-,-
CYBX36,-,-,LTUH,11006.78059,447,-,-,-,-,-
