Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Mapping
BKRDG0_PWR,LINAC,STATE,DIAG0,107.230873,111,L2KG01-52/53-06,23,L2KG01-1931,22,MISSING,OK
BKYSPS_PWR,LINAC,STATE,SPS,9413.55644,109,L2KG29-51,177,L2KG29-7D17,0,MISSING,OK
BKYSPH_PWR,LINAC,STATE,SPH,9127.545942,106,L2KG28-51,166,L2KG28-7D27,0,MISSING,OK
