Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
BCXH1,Linac,STATE,HTR,59.923885,480,BEND:HTR:480:BACT,1,L2KA00-0517,40,N/A
BLRDG0,Linac,STATE,DIAG0,113.792552,155,BEND:DIAG0:155:BACT,1,L2KA00-0517,33,N/A
BYDG0,Linac,STATE,DIAG0,166.954918,510,BEND:DIAG0:510:BACT,1,L2KA00-0517,34,N/A
BCX11,Linac,STATE,BC1B,400.840617,200,BEND:BC1B:200:BACT,1,L2KA00-0517,35,N/A
BCX21,Linac,STATE,BC2B,1094.474252,200,BEND:BC2B:200:BACT,1,L2KA00-0517,36,N/A
