Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#2,Measured_Device_Type_Id,Drawing_#
YAG01B,LINAC,POSITION,GUNB,-28.061394,753,L2KA00-1102,1,L2KA00-0517,0,1,34,WD37604000
YAGH1,LINAC,POSITION,HTR,72.858917,625,L2KA01-0302,23,L2KG01-1931,0,1,34,WD37604200
YAGH2,LINAC,POSITION,HTR,76.330833,675,L2KA01-0302,23,L2KG01-1931,2,3,34,WD37604200
OTRDG02,Diag0,POSITION,DIAG0,153.351427,420,L2KA01-0302,23,L2KG01-1931,4,5,35,WD37604200
OTRDG04,Diag0,POSITION,DIAG0,169.458799,525,L2KA01-0302,23,L2KG01-1931,6,7,35,WD37604200
OTR11B,LINAC,POSITION,BC1B,411.783632,470,L2KA02-0325,43,L2KG02-2215,0,1,3,WD37604400
OTR21B,LINAC,POSITION,BC2B,1131.912572,545,L2KA04-0502,61,L2KG04-1923,0,1,3,WD37605000
OTRDOG,LINAC,POSITION,DOG,2361.592667,195,L2KF08-3B05,102,L2KG08-3A33,0,1,3,WD37605203
OTR30,HXU,POSITION,LTUH,10962.86699,449,B911-0502,241,B911-0620,0,1,34,WD37605803
YAGPSI,HXU,POSITION,LTUH,11405.67589,743,B912-2202,260,B912-1419,0,1,34,WD37605804
OTR33,HXU,POSITION,LTUH,11408.33711,745,B912-2202,260,B912-1419,2,3,35,WD37605804
MSXS1,SXU,POSITION,UNDS,11969.196,3520,B913-2334,272,B913-10233,16,17,37,MISSING
MSXS2,SXU,POSITION,UNDS,11974.459,3560,B913-2334,272,B913-10233,10,11,37,MISING
MSXS3,SXU,POSITION,UNDS,11974.459,3565,B913-2334,272,B913-10233,12,13,37,MISSING
SLSXS1,SXU,POSITION,UNDS,11973.589,3555,B913-2334,272,B913-10233,14,15,36,MISSING
BOD10,SXU,POSITION,UNDS,11978.222,3575,B921-7215,306,B921-1433,20,21,34,MISSING
BOD12,SXU,POSITION,UNDS,12008,3795,B921-7215,306,B921-1433,22,23,34,MISSING
OTRDMP,HXU,POSITION,DMPH,12339.92127,695,B921-7202,316,B921-1524,24,25,35,WD37606001
OTRDMPB,SXU,POSITION,DMPS,12339.92127,695,B921-7202,306,B921-1433,13,14,35,WD37606001
