Name,MPS_Signal_Source,MPS_Signal_Type,MPS_Channel_#,Z_Name,O_Name,Alarm_State,Bit_Position,Debounce
IN_SWITCH,Prof. Rack Terminal Block,0/24V,1,NOT_IN,IS_IN,0,1,10
OUT_SWITCH,Prof. Rack Terminal Block,0/24V,2,NOT_OUT,IS_OUT,0,0,10
