Device_Location,State_Name,Device_State_Number,Fault_Description,Linac,Diag0,SXU,HXU,
Linac,LOSS_T0,1,Linac PBLM Fault,1,-,-,-,
SXU,LOSS_T0,1,SXU PBLM Fault,-,-,1,-,
HXU,LOSS_T0,1,HXU PBLM X Fault,-,-,-,1,
