Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#12,Drawing_#,Mapping
BKRDG0,LINAC,STATE,DIAG0,107.230873,111,L2KG01-52/53-06,23,L2KG01-1931,22,,MISSING,OK
BKYSPS,LINAC,STATE,SPS,9413.55644,109,L2KG29-51,177,L2KG29-7D17,0,,MISSING,OK
BKYSPH,LINAC,STATE,SPH,9127.545942,106,L2KG28-51,166,L2KG28-7D27,0,,MISSING,OK
BKRCUS_PWR,CLTS,STATE,CLTS,10038.08474,185,B136-22,200,B136-0521,4,5,,OK
BYKIK_PWR,HXU,STATE,LTUH,10825.26191,320,B005-L08,227,B005-L0811,10,11,,OK
BYKIKS_PWR,SXU,STATE,LTUS,10825.26191,350,B005-L07,228,B005-L0716,10,11,,OK
