Name,Number,Description,Value,Mask,Fault,Fault_Description
I0_BACT_T0,1,Magnetic Field,1,1,I0_BACT,Solenoid BACT Fault
I0_BACT_T1,2,Magnetic Field,2,2,I0_BACT,Solenoid BACT Fault
I0_BACT_T2,3,Magnetic Field,4,4,I0_BACT,Solenoid BACT Fault
I0_BACT_T3,4,Magnetic Field,8,8,I0_BACT,Solenoid BACT Fault
I0_BACT_T4,5,Magnetic Field,16,16,I0_BACT,Solenoid BACT Fault
I0_BACT_T5,6,Magnetic Field,32,32,I0_BACT,Solenoid BACT Fault
I0_BACT_T6,7,Magnetic Field,64,64,I0_BACT,Solenoid BACT Fault
I0_BACT_T7,8,Magnetic Field,128,128,I0_BACT,Solenoid BACT Fault
