Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
VVFS:HTR:244,Linac,STATUS,HTR,39.37,244,L2KA01-0112,16,L2KG01-1925,19,WD37640401C0
VVFS:COL0:991,Linac,STATUS,COL0,242.78,991,L2KA01-0112,16,L2KG01-1925,20,WD37640401C0
VVFS:BC1B:96,Linac,STATUS,BC1B,397.444,96,L2KA02-0434,43,L2KG02-2215,22,WD37640409C0
VVFS:COL1:972,Linac,STATUS,COL1,575.213,972,L2KA02-0434,43,L2KG02-2215,23,WD37640409C0
VVFS:BC2B:119,Linac,STATUS,BC2B,1087.618,119,L2KA04-0517,61,L2KG04-1923,2,WD37605000C0
VVFS:EMIT2:939,Linac,STATUS,EMIT2,1267.438,939,L2KA04-0517,61,L2KG04-1923,3,WD37605000C0
VVFS:EXT:159,Linac,STATUS,EXT,2109,159,L2KA07-0113,93,L2KG07-3737,12,WD37641109C0
VVFS:SLTH:130,HXU,STATUS,SLTH,10001.336,130,B136-0106,206,B136-0628,0,WD37641802C0
VVFS:SLTS:130,SXU,STATUS,SLTS,10001.336,130,B136-0206,201,B136-0528,0,WD37641802C0
VVFS:LTUS:109,SXU,STATUS,LTUS,10577,109,Unknown,221,B106-0131,0,MISSING
VVFS:LTUH:102,HXU,STATUS,LTUH,10576.78,102,B105,215,B106-0124,11,MISSING
VVFS:DUMP:1,Linac,STATUS,DMP1,10001.336,100,B136-0306,189,L2KG30-7D13,4,WD37641802C0
VVFS:DMPS:157,SXU,STATUS,DMPS,12203,157,B921-7411,306,B921-1433,0,WD37642002C0
VVFS:DMPH:157,HXU,STATUS,DMPH,0,157,B921-6409,316,B921-1524,0,WD37642002C0
